date,time,city,temperature,humidity,wind_speed,pressure,rainfall,uv_index,air_quality
2025-01-01,00:00,Hyderabad,19.1,62,7.7,1018.4,0.0,0,108
2025-01-01,01:00,Mumbai,15.5,86,9.6,1019.4,0.0,0,131
2025-01-01,02:00,Delhi,16.6,56,5.8,1014.0,0.0,0,171
2025-01-01,03:00,Bangalore,14.2,81,8.2,1016.9,0.0,0,94
2025-01-01,04:00,Chennai,23.1,72,9.1,1015.8,0.0,0,97
2025-01-01,05:00,Hyderabad,22.5,60,4.3,1018.1,0.0,0,118
2025-01-01,06:00,Mumbai,24.9,67,10.5,1011.5,0.0,0,132
2025-01-01,07:00,Delhi,21.5,53,8.1,1016.9,0.0,0,181
2025-01-01,08:00,Bangalore,21.0,69,7.2,1022.7,0.0,2,115
2025-01-01,09:00,Chennai,27.3,67,1.4,1020.0,0.0,2,123
2025-01-01,10:00,Hyderabad,30.4,47,8.1,1013.6,0.0,4,143
2025-01-01,11:00,Mumbai,30.5,66,6.3,1016.9,0.0,6,123
2025-01-01,12:00,Delhi,23.9,53,5.8,1013.9,0.0,7,182
2025-01-01,13:00,Bangalore,23.5,82,6.7,1014.9,0.0,6,115
2025-01-01,14:00,Chennai,27.1,65,10.7,1015.0,0.0,3,109
2025-01-01,15:00,Hyderabad,26.8,56,7.2,1009.5,0.0,3,137
2025-01-01,16:00,Mumbai,25.2,77,0.9,1016.6,0.0,2,144
2025-01-01,17:00,Delhi,20.6,62,9.7,1014.0,0.0,0,200
2025-01-01,18:00,Bangalore,17.0,64,8.7,1013.3,8.2,1,123
2025-01-01,19:00,Chennai,22.7,67,7.6,1016.2,0.0,0,134
2025-01-01,20:00,Hyderabad,20.4,60,8.1,1016.2,0.0,0,114
2025-01-01,21:00,Mumbai,16.4,81,7.4,1023.1,0.0,0,133
2025-01-01,22:00,Delhi,16.1,55,6.0,1013.5,0.0,0,226
2025-01-01,23:00,Bangalore,11.5,77,9.6,1020.0,0.0,0,97
2025-01-02,00:00,Chennai,17.8,78,9.1,1015.2,0.0,0,108
2025-01-02,01:00,Hyderabad,20.2,61,8.3,1020.4,0.0,0,138
2025-01-02,02:00,Mumbai,21.7,71,6.5,1016.7,0.0,0,108
2025-01-02,03:00,Delhi,18.0,57,5.0,1018.2,0.0,0,173
2025-01-02,04:00,Bangalore,13.0,77,9.8,1014.9,0.0,0,125
2025-01-02,05:00,Chennai,23.8,78,5.9,1016.0,0.0,0,126
2025-01-02,06:00,Hyderabad,24.7,63,5.1,1025.4,0.0,0,146
2025-01-02,07:00,Mumbai,24.5,76,6.5,1012.6,0.0,1,140
2025-01-02,08:00,Delhi,23.2,54,7.8,1015.7,0.0,1,242
